"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.202306100E-1,9.670592308E0,-6.266204357E0,-2.961117923E-1,1.152707052E1
6.224261160E-1,9.632308006E0,-6.203990936E0,-2.823530734E-1,1.146082826E1
6.246285290E-1,9.546165466E0,-6.141777515E0,-2.877369225E-1,1.135488876E1
6.268189580E-1,9.498908043E0,-6.074180126E0,-2.793620527E-1,1.127842903E1
6.290162040E-1,9.455837250E0,-6.007181168E0,-2.751746178E-1,1.120601645E1
6.312056360E-1,9.393623352E0,-5.949753284E0,-2.853440940E-1,1.112300072E1
6.333844580E-1,9.379266739E0,-5.897111416E0,-2.949153781E-1,1.108302949E1
6.356032900E-1,9.322437286E0,-5.820540905E0,-2.961117923E-1,1.099428104E1
6.377996510E-1,9.303294182E0,-5.758327484E0,-3.056831062E-1,1.094545843E1
6.400011180E-1,9.284152031E0,-5.720640659E0,-3.254238665E-1,1.090995459E1
6.421854030E-1,9.293723106E0,-5.658427238E0,-3.397808075E-1,1.088607087E1
6.443626700E-1,9.284152031E0,-5.624927998E0,-3.254238665E-1,1.086007342E1
6.465854580E-1,9.288937569E0,-5.615356445E0,-3.158525825E-1,1.085892960E1
6.487809040E-1,9.279366493E0,-5.577071190E0,-3.116651475E-1,1.083085873E1
6.509838340E-1,9.265008926E0,-5.552545071E0,-2.829512656E-1,1.080514732E1
6.531724440E-1,9.245866776E0,-5.533402443E0,-2.452643216E-1,1.077797521E1
6.553689660E-1,9.260223389E0,-5.509474277E0,-2.261217386E-1,1.077762381E1
6.575647670E-1,9.260223389E0,-5.480760098E0,-1.878365725E-1,1.076223727E1
6.597611580E-1,9.265008926E0,-5.442475319E0,-1.782652885E-1,1.074675330E1
6.619576000E-1,9.260223389E0,-5.399404526E0,-1.686939895E-1,1.072071659E1
6.641481210E-1,9.260822296E0,-5.365306377E0,-1.501496136E-1,1.070382581E1
6.663248180E-1,9.284749985E0,-5.332405090E0,-1.501496136E-1,1.070811240E1
6.685406180E-1,9.289535522E0,-5.307878971E0,-1.118644550E-1,1.069960574E1
6.707165210E-1,9.308678627E0,-5.264808178E0,-8.315058798E-2,1.069470041E1
6.729442430E-1,9.336793900E0,-5.236093998E0,-5.922235921E-2,1.070494783E1
6.751338180E-1,9.337391853E0,-5.188237667E0,-6.879365444E-2,1.068220152E1
6.773360380E-1,9.346963882E0,-5.178666592E0,-2.093719877E-2,1.068572692E1
6.795239350E-1,9.356534958E0,-5.126024246E0,-2.093719877E-2,1.066870701E1
6.817236710E-1,9.361320496E0,-5.082953453E0,-1.136590727E-2,1.065227048E1
6.839193500E-1,9.375677109E0,-5.015954494E0,-2.153540403E-2,1.063313616E1
6.861166980E-1,9.399605751E0,-4.949553490E0,-6.939185411E-2,1.062334614E1
6.883110340E-1,9.409176826E0,-4.901697159E0,-9.332008660E-2,1.060980453E1
6.905075570E-1,9.404391289E0,-4.863411903E0,-1.411765367E-1,1.058845039E1
6.927031540E-1,9.438488960E0,-4.797011375E0,-1.986042857E-1,1.058942093E1
6.948993010E-1,9.467203140E0,-4.730011940E0,-2.129612118E-1,1.058519252E1
6.970922540E-1,9.495916367E0,-4.697110653E0,-2.464607358E-1,1.059698160E1
6.992787860E-1,9.524630547E0,-4.630111694E0,-2.368894368E-1,1.059304668E1
7.014883720E-1,9.558130264E0,-4.567898273E0,-2.512463629E-1,1.059654064E1
7.036819750E-1,9.601201057E0,-4.482355118E0,-2.751746178E-1,1.059954198E1
7.058658230E-1,9.658628464E0,-4.405784607E0,-3.038884699E-1,1.062037617E1
